codigo;descrição;NCM
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028310
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028320
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028400
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028500
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028910
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028921
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028922
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028923
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028924
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028931
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028932
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028933
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028934
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028935
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028936
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028937
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028938
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028941
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028942
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028943
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028944
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028945
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03028990
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03029110
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03029190
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03029200
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03029900
122;"Aliquota zero; CST Entrada 73; CST Saida 06 Natureza da receita 122";03031100
